date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:27:55	152604/152604	---M-Z	200	added ('OK')	text/html	etag:%222541c-663c8b46-80b4454a2bb25eaa;gz%22	https://html.themewant.com/studyhub/index.html	C:/Users/Web%20Guru/Desktop/course/html.themewant.com/studyhub/index.html	(from )
23:27:56	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-650cb906-d8e718ed5d0574ad;gz%22	https://html.themewant.com/robots.txt		(from )
23:27:56	693/693	---M--	200	added ('OK')	image/png	etag:%222b5-663c8b46-685f6e6259b68aa2;;;%22	https://html.themewant.com/studyhub/assets/images/fav.png	C:/Users/Web%20Guru/Desktop/course/html.themewant.com/studyhub/assets/images/fav.png	(from https://html.themewant.com/studyhub/index.html)
23:27:56	26126/26126	---M-Z	200	added ('OK')	text/css	etag:%22660e-663c8b46-dfa4fe9784e3dc7e;gz%22	https://html.themewant.com/studyhub/assets/css/plugins/swiper.min.css	C:/Users/Web%20Guru/Desktop/course/html.themewant.com/studyhub/assets/css/plugins/swiper.min.css	(from https://html.themewant.com/studyhub/index.html)
23:27:57	498515/498515	---M-Z	200	added ('OK')	text/css	etag:%2279b53-663c8b46-fb9e26ef1167b363;gz%22	https://html.themewant.com/studyhub/assets/css/plugins/fontawesome-6.css	C:/Users/Web%20Guru/Desktop/course/html.themewant.com/studyhub/assets/css/plugins/fontawesome-6.css	(from https://html.themewant.com/studyhub/index.html)
23:27:57	8469/8469	---M-Z	200	added ('OK')	text/css	etag:%222115-663c8b46-b593cdf4a0c8a169;gz%22	https://html.themewant.com/studyhub/assets/css/vendor/magnific-popup.css	C:/Users/Web%20Guru/Desktop/course/html.themewant.com/studyhub/assets/css/vendor/magnific-popup.css	(from https://html.themewant.com/studyhub/index.html)
23:27:57	213827/213827	---M-Z	200	added ('OK')	text/css	etag:%2234343-663c8b46-90e0f45496658f0f;gz%22	https://html.themewant.com/studyhub/assets/css/vendor/bootstrap.min.css	C:/Users/Web%20Guru/Desktop/course/html.themewant.com/studyhub/assets/css/vendor/bootstrap.min.css	(from https://html.themewant.com/studyhub/index.html)
23:27:57	37582/37582	---M-Z	200	added ('OK')	text/css	etag:%2292ce-663c8b46-d44dd1763d9f1903;gz%22	https://html.themewant.com/studyhub/assets/css/vendor/jquery-ui.css	C:/Users/Web%20Guru/Desktop/course/html.themewant.com/studyhub/assets/css/vendor/jquery-ui.css	(from https://html.themewant.com/studyhub/index.html)
23:27:58	3589/3589	---M-Z	200	added ('OK')	text/css	etag:%22e05-663c8b46-8253f83fd052c1dd;gz%22	https://html.themewant.com/studyhub/assets/css/vendor/metismenu.css	C:/Users/Web%20Guru/Desktop/course/html.themewant.com/studyhub/assets/css/vendor/metismenu.css	(from https://html.themewant.com/studyhub/index.html)
23:27:58	654387/654387	---M-Z	200	added ('OK')	text/css	etag:%229fc33-663c8b46-c90941f51b74adb0;gz%22	https://html.themewant.com/studyhub/assets/css/style.css	C:/Users/Web%20Guru/Desktop/course/html.themewant.com/studyhub/assets/css/style.css	(from https://html.themewant.com/studyhub/index.html)
23:27:58	10277/10277	---M-Z	200	added ('OK')	image/svg+xml	etag:%222825-663c8b46-1da8cac99e8e5088;gz%22	https://html.themewant.com/studyhub/assets/images/flag-01.svg	C:/Users/Web%20Guru/Desktop/course/html.themewant.com/studyhub/assets/images/flag-01.svg	(from https://html.themewant.com/studyhub/index.html)
23:27:58	283/283	---M--	200	added ('OK')	image/svg+xml	etag:%2211b-663c8b46-78272e1763a8ff09;;;%22	https://html.themewant.com/studyhub/assets/images/flag-03.svg	C:/Users/Web%20Guru/Desktop/course/html.themewant.com/studyhub/assets/images/flag-03.svg	(from https://html.themewant.com/studyhub/index.html)
23:27:59	36518/36518	---M-Z	200	added ('OK')	image/svg+xml	etag:%228ea6-663c8b46-348015925094c07e;gz%22	https://html.themewant.com/studyhub/assets/images/flag-02.svg	C:/Users/Web%20Guru/Desktop/course/html.themewant.com/studyhub/assets/images/flag-02.svg	(from https://html.themewant.com/studyhub/index.html)
23:27:59	410/410	---M-Z	200	added ('OK')	image/svg+xml	etag:%2219a-663c8b46-89c97ed5771225a1;gz%22	https://html.themewant.com/studyhub/assets/images/flag-04.svg	C:/Users/Web%20Guru/Desktop/course/html.themewant.com/studyhub/assets/images/flag-04.svg	(from https://html.themewant.com/studyhub/index.html)
